symbol,open_time,funding_rate,funding_rate_z_7d,funding_rate_1d_change
MINAUSDT,2026-05-29 12:00:00+00:00,-0.00031533,-2.9218314,-0.00014668
MINAUSDT,2026-05-29 16:00:00+00:00,-0.00031533,-2.602407,-0.00014668
MINAUSDT,2026-05-29 20:00:00+00:00,3.384e-05,0.73302376,0.00016307
MINAUSDT,2026-05-30 00:00:00+00:00,3.384e-05,0.750575,0.00016307
MINAUSDT,2026-05-30 04:00:00+00:00,1e-04,1.3313181,7.452e-05
MINAUSDT,2026-05-30 08:00:00+00:00,1e-04,1.2753944,7.452e-05
MINAUSDT,2026-05-30 12:00:00+00:00,1e-04,1.2135041,0.00041533
MINAUSDT,2026-05-30 16:00:00+00:00,1e-04,1.1555058,0.00041533
MINAUSDT,2026-05-30 20:00:00+00:00,1e-04,1.1324122,6.616e-05
MINAUSDT,2026-05-31 00:00:00+00:00,1e-04,1.1106929,6.616e-05
MINAUSDT,2026-05-31 04:00:00+00:00,-7.619e-05,-0.43843147,-0.00017619
MINAUSDT,2026-05-31 08:00:00+00:00,-7.619e-05,-0.41226953,-0.00017619
MINAUSDT,2026-05-31 12:00:00+00:00,1e-04,1.1232221,0.0
MINAUSDT,2026-05-31 16:00:00+00:00,1e-04,1.072276,0.0
MINAUSDT,2026-05-31 20:00:00+00:00,3.59e-05,0.49612623,-6.41e-05
MINAUSDT,2026-06-01 00:00:00+00:00,3.59e-05,0.4851249,-6.41e-05
MINAUSDT,2026-06-01 04:00:00+00:00,3.59e-05,0.47094902,0.00011209
MINAUSDT,2026-06-01 08:00:00+00:00,3.59e-05,0.456858,0.00011209
MINAUSDT,2026-06-01 12:00:00+00:00,3.59e-05,0.464858,-6.41e-05
MINAUSDT,2026-06-01 16:00:00+00:00,3.59e-05,0.47342193,-6.41e-05
